,Rank,Last Year's Rank,Average Annual pay per player,% change from last year's survey,Total Payroll,Rank of Total Payroll,Average player 5 year earnings,% change over last 5 years,Team,League
66,67,67,3389810,8.0,105084121,44,14300520.0,101.0,Baltimore Orioles,MLB
67,68,69,3351167,11.0,90481500,62,12359256.0,28.0,Kansas City Royals,MLB
68,69,39,3316740,-24.8,89551982,65,19794944.0,-4.0,Chicago White Sox,MLB
69,70,91,3255259,25.0,81381487,75,,,Queens Park Rangers,EPL
70,71,68,3156635,2.0,97855673,56,16055936.0,-14.0,Atlanta Braves,MLB
71,72,95,3121519,23.3,84281011,70,17276324.0,-17.0,New York Mets,MLB
72,73,77,3087574,11.4,89539642,66,15047656.0,-9.0,Seattle Mariners,MLB
73,74,92,3055585,17.9,82500800,73,11999520.0,52.0,Cleveland Indians,MLB
74,75,64,3044799,-8.8,76119969,81,17219644.0,4.0,Aston Villa,EPL
75,76,83,2998854,11.0,71972500,85,13872716.0,23.0,Chicago Blackhawks,NHL
76,77,129,2899410,33.9,89881695,63,9477156.0,202.0,San Diego Padres,MLB
77,78,86,2883185,8.7,77845999,77,10065900.0,265.0,Pittsburgh Pirates,MLB
78,79,100,2864519,16.3,74477500,83,13069212.0,13.0,Philadelphia Flyers,NHL
79,80,27,2862461,-41.6,42936909,167,22120280.0,-38.0,Philadelphia 76ers,NBA
80,81,96,2860000,13.9,68640000,91,12023648.0,42.0,LA Kings,NHL
81,82,76,2838043,2.0,65275000,105,12431432.0,22.0,Minnesota Wild,NHL
82,83,133,2828810,31.9,82035490,74,11141312.0,23.0,Tampa Bay Rays,MLB
83,84,121,2705217,22.3,62220000,118,10736180.0,41.0,Nashville Predators,NHL
84,85,84,2699960,0.2,67499000,95,12965368.0,18.0,Vancouver Canucks,NHL
85,86,104,2678222,10.3,66955551,99,10967944.0,91.0,Fulham,EPL
86,87,85,2675417,0.7,64210000,108,13233844.0,-4.0,New York Rangers,NHL
87,88,75,2664731,-4.3,66618266,100,14557140.0,-24.0,Newcastle,EPL
88,89,59,2662370,-26.0,74546356,82,19283888.0,-43.0,Chicago Cubs,MLB
89,90,155,2658772,35.3,69128080,89,8491704.0,363.0,Napoli,Serie A
90,91,147,2634559,28.8,65863987,103,,,Atletico Madrid,La Liga
91,92,80,2628077,-4.7,68330000,92,12907856.0,24.0,Boston Bruins,NHL
92,93,98,2622287,5.1,65557187,104,11953188.0,17.0,Everton,EPL
93,94,90,2614792,-0.4,62755000,113,12261392.0,24.0,Montreal Canadiens,NHL
94,95,87,2551891,-3.4,66349166,101,12648376.0,5.0,San Jose Sharks,NHL
95,96,115,2530008,9.7,86020280,68,8697572.0,168.0,Lazio,Serie A
96,97,122,2527685,14.4,68247500,93,12600744.0,6.0,Detroit Red Wings,NHL
97,98,),2524438,,6214000,249,,,Sunrisers Hyderabad,IPL
